,label,maximum,mean,median,minimum,sigma,sum,variance,elongation,feret_diameter,flatness,roundness,equivalent_ellipsoid_diameter_0,equivalent_ellipsoid_diameter_1,equivalent_spherical_perimeter,equivalent_spherical_radius,number_of_pixels,number_of_pixels_on_border,file_name
0,1,83.0,62.666666666666664,63.01171875,49.0,11.02339110778309,752.0,121.51515151515129,4.198213905936677,7.0,4.198213905936677,0.0,1.9077145889918479,8.008993916063847,12.279920495357862,1.9544100476116797,12,8,17P1_POS0013_D_1UL.tif
1,2,233.0,100.08955223880596,99.72265625,33.0,41.11759510288046,33530.0,1690.656627044419,1.2607396474304173,25.612496949731394,1.2607396474304173,0.0,18.39351613040549,23.18943504125311,64.8824641625942,10.32636489145962,335,20,17P1_POS0013_D_1UL.tif
2,3,208.0,98.81071428571428,94.76171875,32.0,40.78833236154229,27667.0,1663.6880568356378,1.1286764911377747,19.72308292331602,1.1286764911377747,0.0,17.77253324614738,20.059440462891068,59.31765143716134,9.440697438826296,280,0,17P1_POS0013_D_1UL.tif
3,4,189.0,95.24460431654676,92.77734375,35.0,38.91831686163085,13239.0,1514.6353873423,1.821740666191101,18.439088914585774,1.821740666191101,0.0,9.856419582811338,17.955840377049743,41.79384542484604,6.651697090182843,139,19,17P1_POS0013_D_1UL.tif
4,5,162.0,93.44736842105263,95.75390625,34.0,31.833291554504136,21306.0,1013.3584511940643,1.255613968603167,18.601075237738275,1.255613968603167,0.0,15.205279706151323,19.09196159556186,53.52693247397885,8.51907589177983,228,0,17P1_POS0013_D_1UL.tif
5,6,165.0,89.504,90.79296875,32.0,27.832437231564832,22376.0,774.6445622489962,1.2346724724216984,19.72308292331602,1.2346724724216984,0.0,16.05643704829732,19.82444082870461,56.049912163979286,8.920620580763856,250,9,17P1_POS0013_D_1UL.tif
6,7,194.0,97.10622710622711,95.75390625,33.0,34.74243037603339,26510.0,1207.0364684335277,1.0884909274773036,19.209372712298546,1.0884909274773036,0.0,17.869976280632134,19.45130705570269,58.57148775402631,9.321941800299703,273,0,17P1_POS0013_D_1UL.tif
7,8,255.0,119.22330097087378,113.61328125,23.0,63.206889411285196,24560.0,3995.110869050437,1.1965781188199565,17.08800749063506,1.1965781188199565,0.0,14.80533167475418,17.71573592388287,50.87899710644845,8.097643889049511,206,0,17P1_POS0013_D_1UL.tif
8,9,177.0,100.13120567375887,101.70703125,29.0,36.37948198604821,28237.0,1323.4667095732063,1.302883234651429,21.400934559032695,1.302883234651429,0.0,16.600717750187357,21.6287968398995,59.52912323602025,9.474354220939228,282,0,17P1_POS0013_D_1UL.tif
9,10,216.0,99.17171717171718,95.75390625,34.0,38.378636478120704,29454.0,1472.9197379197371,1.0135381229094382,19.72308292331602,1.0135381229094382,0.0,19.31582400058183,19.577323999998786,61.09183310774586,9.72306722164286,297,0,17P1_POS0013_D_1UL.tif
