,area,intensity_mean,major_axis_length,minor_axis_length,aspect_ratio
0,139,96.54676258992805,17.504104008691773,10.292769701795565,1.7006213600250082
1,360,86.6138888888889,35.746807675360536,14.98312426117207,2.3858046594458533
2,43,91.48837209302326,12.967884418839425,4.35157340676226,2.9800449645839797
3,140,73.74285714285715,18.940508365481037,10.314404431449747,1.836316240201844
4,144,89.375,13.639307733099182,13.458532356976972,1.013432027454947
5,194,85.72680412371135,17.904346964399434,13.829849418959984,1.294616190097741
6,251,100.0398406374502,19.599603809415367,16.304114026432355,1.2021262717888466
7,310,106.14516129032258,21.683487634815133,18.352286681113693,1.181514217360694
8,276,113.82246376811594,21.495874024956596,16.389499708055272,1.311563769966181
9,160,98.30625,15.042572952781661,13.541062512234468,1.110885718103034
10,283,110.24381625441696,19.821780578893126,18.256043728749194,1.0857653976627064
11,539,93.82931354359926,30.75560174502016,23.869640246436866,1.288481997528689
12,237,96.18987341772151,20.410736775284587,14.832035118665255,1.3761251650219504
13,51,64.23529411764706,8.505998926251717,7.60835863109624,1.1179808075143458
14,211,94.84834123222748,18.743145475325132,14.353759318998073,1.3058004567846864
15,402,101.45273631840796,24.25603865839095,22.370627278441585,1.0842806666295997
16,156,81.39102564102564,16.091123712623,12.369454992986162,1.300875723445142
17,278,115.72661870503597,21.444532790247685,16.661141481820597,1.287098654893866
18,273,108.32967032967034,19.898179367463808,17.480266031851276,1.138322456374908
19,972,98.7201646090535,57.31103494775702,25.502354097063574,2.247284102856842
20,320,120.04375,22.676979259081666,18.03965906504832,1.2570625186048063
21,305,104.26885245901639,21.090184392249643,18.41775182055448,1.1451009112150534
22,326,114.30674846625767,22.074412555626182,18.808481182555557,1.1736414196006268
23,207,81.94202898550725,19.112875946001797,14.117345147618659,1.353857665598393
24,294,114.47619047619048,19.717777699346982,19.053022221167897,1.0348897655428408
25,224,88.33482142857143,18.166153388218838,15.695589239844077,1.1574049951627878
26,213,95.05633802816901,17.248769785470554,15.746826319539577,1.0953807094491972
27,327,93.2691131498471,22.541140861731854,18.578183500481064,1.213312424282394
28,319,105.58307210031347,21.04530155886778,19.31001226705338,1.0898647431092077
29,291,110.10309278350516,19.606883178497952,18.979353241931477,1.033063820909348
30,263,102.33079847908745,19.39483450244503,17.28272372543437,1.1222093699213824
31,238,105.47478991596638,18.37158206184101,16.960093680270504,1.083224091103487
32,250,100.256,18.95328718248218,16.78921680658025,1.1288964459053121
33,277,118.20938628158845,21.730740143307663,16.240995295774322,1.3380177598451553
34,264,88.06060606060606,20.924670785587562,16.1206347609245,1.2980053884917593
35,226,93.76548672566372,18.078765836365598,15.986988075982467,1.1308425170796021
36,267,107.54681647940075,19.066140098818515,17.881216266288654,1.0662664001645006
37,300,104.21333333333334,21.474456360795173,17.817656399309623,1.205234621183246
38,290,92.91379310344827,24.74551720675934,14.99851189768528,1.6498648249616228
39,282,104.87943262411348,20.70344031312803,17.4132792683637,1.1889455164681055
40,307,101.1042345276873,20.155547075647945,19.45870688589756,1.035811228044933
41,84,86.86904761904762,14.824866639836074,7.622393333558928,1.9449096879541745
42,315,91.13333333333334,20.92709533157577,19.20928278017474,1.0894261681219004
43,206,94.2621359223301,23.381878562729206,11.669667830767997,2.0036455965851094
44,45,68.37777777777778,9.406371344140842,6.2764447247657325,1.4986782735495108
45,33,76.72727272727273,10.724275342392266,4.174567838212396,2.568954621895554
46,16,76.75,7.745966692414834,2.7838821814150108,2.78243337456101
